guideword,grammar,example,level,type,scene_uid,uid
nouveau / nouvel / nouvelle,adapter la forme de l'adjectif devant un nom masculin commençant par une voyelle ou un h muet,"Il y a un nouvel hôtel dans ma rue.
J'aime le nouveau logo.
Le nouvel épisode est ce soir.",A1,Adjectives & Adverbs,176,351
vieux / vieil / vieille,changer la forme masculine de l'adjectif pour faciliter la prononciation devant une voyelle ou un h muet,"C'est un vieil oncle.
Ce monument est très vieux aujourd'hui.",A1,Adjectives & Adverbs,176,352
fou / fol / folle,utiliser la forme euphonique 'fol' devant un nom masculin commençant par une voyelle,"Le projet d'Alain est fou.
C'est une folle aventure !
Il a un fol appétit !",A1,Adjectives & Adverbs,177,353
mou / mol / molle,appliquer la forme euphonique rare 'mol' devant un nom masculin commençant par une voyelle,"Je préfère le caramel mou.
Il a une poignée de main molle.",A1,Adjectives & Adverbs,177,354
adjectif euphonique,modifier certains adjectifs masculins pour éviter l'hiatus devant une voyelle ou un h muet,"Regarde le beau verre !
Il y a un bel arbre dans le jardin.
Il était beau hier.",A1,Adjectives & Adverbs,178,355
neuf,"utiliser un adjectif après le nom pour indiquer que quelque chose est jamais utilisé, tout neuf","Léo a reçu un vélo tout neuf pour son anniversaire.
C'est une voiture d'occasion ? - Non, elle est neuve.",A1,Adjectives & Adverbs,178,356
nouveau,utiliser un adjectif avant le nom pour exprimer une nouveauté générale,"J'ai acheté un nouveau vélo.
Emilie a trouvé sa nouvelle table au marché aux puces.",A1,Adjectives & Adverbs,179,357
position adjectif,placer correctement l'adjectif selon sa signification : avant ou après le nom,"J'ai acheté un nouveau vélo.
Léo a reçu un vélo tout neuf pour son anniversaire.",A1,Adjectives & Adverbs,179,358
faire les courses,utiliser une expression idiomatique pour parler d'acheter de la nourriture ou des produits ménagers,Ma mère a fait les courses samedi matin.,A1,"Idioms, Idiomatic Usage, and Structures",180,359
faire les magasins,"utiliser une expression idiomatique pour décrire le shopping fait pour le plaisir, comme acheter des vêtements",Elodie a fait les magasins avec sa mère.,A1,"Idioms, Idiomatic Usage, and Structures",180,360
faire du shopping,utiliser une structure courante à l'oral pour exprimer le fait de faire du shopping pour le plaisir,"Elodie a fait du shopping avec sa mère.
Faire du shopping est plus couramment utilisé à l'oral.",A1,"Idioms, Idiomatic Usage, and Structures",181,361
#NAME?,conjuguer des verbes réguliers en -dre au présent de l'indicatif,"Je vends ma vieille console.
Tu vends des DVDs.
Il vend sa voiture.
Nous vendons un peu de tout.
Vous vendez des adaptateurs internationaux ?
Elles vendent leurs légumes sur le marché.",A1,Verbs Tenses & Conjugation,181,362
prononciation -dre,identifier les terminaisons muettes dans la conjugaison des verbes en -dre,"Je réponds au téléphone.
Tu entends cette musique ?
Il descend au sous-sol.
Nous le rendons.
Vous attendez le docteur ?
Mes chiens ne mordent jamais.",A1,Verbs Tenses & Conjugation,182,363
infinitif,reconnaître l'infinitif d'un verbe comme forme de base non conjuguée,"vendre (to sell)
mordre (to bite)",A1,Verbs Tenses & Conjugation,182,364
radical (stem),isoler le radical d'un verbe pour préparer la conjugaison,"vend-re → radical : vend
mord-re → radical : mord",A1,Verbs Tenses & Conjugation,183,365
verbes -dre irréguliers,identifier les verbes en -dre qui ne suivent pas la règle régulière,"prendre
coudre
peindre
craindre
joindre",A1,Verbs Tenses & Conjugation,183,366
moi/toi/lui/elle,utiliser les pronoms toniques pour marquer l'accent ou répondre brièvement,"Moi, je m'appelle Tim.
Et toi, comment tu vas ?
Qui veut un cadeau ? - Moi !
Lui ? Vraiment ?
Toi aussi !
C'est lui !",A1,Pronouns,184,367
contraste entre sujets,mettre en contraste deux sujets à l’aide de pronoms toniques,"Je veux une glace au chocolat mais elle, elle veut une glace à la vanille.",A1,Pronouns,184,368
réponses courtes,répondre de façon simple et directe avec un pronom tonique,"Qui est ta copine ? - Elle.
Qui veut un cadeau ? - Moi !
Lui ? Vraiment ?",A1,Pronouns,185,369
négation avec pronom tonique,nier l’identité ou l’action d’une personne avec un pronom tonique,"Non, pas elle !",A1,Pronouns,185,370
devoir + infinitif,pouvoir exprimer une obligation ou un besoin selon le contexte,"Je dois aller faire les courses avant le dîner.
Mon fils doit aller aux toilettes.",A1,"Idioms, Idiomatic Usage, and Structures",186,371
avoir besoin de + infinitif,exprimer clairement un besoin de faire quelque chose,"J'ai besoin d'aller faire les courses avant le dîner.
Mon fils a besoin d'aller aux toilettes.",A1,"Idioms, Idiomatic Usage, and Structures",186,372
avoir besoin de + nom,exprimer un besoin d’un objet ou d’un concept spécifique,"Elle a besoin d'aide.
Tu as besoin d'argent.",A1,"Idioms, Idiomatic Usage, and Structures",187,373
devoir + nom,exprimer qu’on doit (qu’on ose) quelque chose à quelqu’un,"Tu dois de l'argent.
Patrick me doit une faveur.",A1,"Idioms, Idiomatic Usage, and Structures",187,374
avoir envie de + infinitif,"utiliser une expression idiomatique pour dire qu’on a besoin de faire quelque chose dans des cas particuliers (toilettes, vomir)","Mon fils a envie d'aller aux toilettes.
Arrête la voiture ! J'ai envie de vomir !",A1,"Idioms, Idiomatic Usage, and Structures",188,375
non plus,utiliser 'non plus' pour exprimer 'neither' ou 'nor' dans une réponse négative,"Je ne vois pas Boris. - Moi non plus!
Je ne mange pas beaucoup. - Non, moi non plus.
Je n'ai pas payé la facture d'électricité. Le chauffage non plus.
Elle n'aime pas la vanille. Et le chocolat non plus.",A1,Negative Words & Constructions,188,376
opposition avec aussi,comprendre que 'non plus' est l'opposé négatif de 'aussi',"Je vois Boris. - Moi aussi!
Je ne vois pas Boris. - Moi non plus!",A1,Negative Words & Constructions,189,377
prononciation finale,ne pas prononcer le 's' final de 'plus' dans un contexte négatif comme avec 'non plus',Moi non plus. (le 's' de 'plus' est muet),A1,Negative Words & Constructions,189,378
pronoms disjonctifs pluriels,utiliser les pronoms disjonctifs (nous/vous/eux/elles) pour marquer l'accent ou répondre brièvement,"Vous aimez le vin alors qu'elles, elles détestent ça !
Tu vas chez Lisa pendant que nous, nous nettoyons la maison.
Je vais à la poste, et eux, ils vont au supermarché.",A1,Pronouns,190,379
réponses courtes,répondre par un pronom disjonctif seul dans des échanges oraux simples,"Qui veut du gâteau ? - Nous !
Et ces filles ? - Elles ? Oh non !
Qui est-ce ? - Eux !",A1,Pronouns,190,380
phrases simples,former des phrases très simples avec un pronom disjonctif après « c'est » ou « pas »,"C'est nous, c'est vous.
Pas eux !
Vous aussi !",A1,Pronouns,191,381
eux vs elles,choisir entre « eux » et « elles » selon le genre du groupe (mixte ou masculin = eux ; uniquement féminin = elles),"Eux est utilisé quand le groupe est masculin ou mixte.
Seulement utiliser elles quand tous les membres du groupe sont féminins.",A1,Pronouns,191,382
ce sont vs c'est,"utiliser « ce sont » avec « eux » ou « elles » à l’écrit, mais accepter « c’est » à l’oral","Techniquement, on devrait dire « Ce sont eux », mais à l’oral on entend souvent « C’est eux ».",A1,Pronouns,192,383
être à + pronom disjonctif,exprimer la possession de manière idiomatique en utilisant la structure 'être à' suivie d'un pronom disjonctif,"Cette ceinture est à eux.
C'est à qui ? / À qui c'est ?
C'est à moi !
Ce sac est à lui.
Ces chaussures sont à elle.
Ces bonbons sont à elles.",A1,"Idioms, Idiomatic Usage, and Structures",192,384
pronom disjonctif,"utiliser les pronoms disjonctifs (moi, toi, lui, elle, nous, vous, eux, elles) après la préposition 'à' pour marquer la possession","C'est à moi !
Ce sac est à lui.
Ces chaussures sont à elle.",A1,"Idioms, Idiomatic Usage, and Structures",193,385
être d'accord avec,utiliser une expression idiomatique avec être pour exprimer l'accord avec quelqu'un ou quelque chose,"Je suis complètement d'accord avec toi.
Elle est toujours d'accord avec son frère.
Vous êtes d'accord ?
Ah non ! Je ne suis pas d'accord !
Nous sommes d'accord avec votre proposition.",A1,"Idioms, Idiomatic Usage, and Structures",193,386
invariabilité de 'd'accord',comprendre qu'un adverbe ou une expression figée ne change pas selon le sujet,"Je suis d'accord.
Elle est d'accord.
Nous sommes d'accord.
Vous êtes d'accord.",A1,"Idioms, Idiomatic Usage, and Structures",194,387
croire,conjuguer un verbe irrégulier au présent de l'indicatif,"Je crois en la science.
Tu crois en la vie après la mort ?
Il croit que la Terre est plate !
Nous croyons que tu nous mens.
Vous croyez, aidez-moi.
Les enfants croient tout ce qu'on dit.",A1,Verbs Tenses & Conjugation,194,388
présent de l'indicatif,utiliser le présent pour exprimer des croyances ou opinions,"Je crois en la science.
Il croit que la Terre est plate !
Nous croyons que tu nous mens.",A1,Verbs Tenses & Conjugation,195,389
penser que / croire que,utiliser des verbes d'opinion suivis de 'que' pour exprimer une pensée ou une croyance,"Vous pensez qu'elle chante bien.
Elle croit que les anges existent.
Nous pensons que c'est une bonne idée.
Ils croient que tu caches quelque chose.",A1,Pronouns,195,390
que obligatoire,"ne jamais omettre 'que' après 'penser' ou 'croire' en français, contrairement à l'anglais","Vous pensez qu'elle chante bien.
Elle croit que les anges existent.",A1,Pronouns,196,391
indicatif après penser/croire (affirmatif),utiliser le mode indicatif après 'penser que' ou 'croire que' dans une phrase affirmative,"Nous pensons que c'est une bonne idée.
Ils croient que tu caches quelque chose.",A1,Pronouns,196,392
pronom relatif 'que',reconnaître le pronom relatif 'que' introduisant une proposition subordonnée,"Vous pensez qu'elle chante bien.
Elle croit que les anges existent.",A1,Pronouns,197,393
adverbe régulier -ment,former un adverbe régulier en ajoutant -ment au féminin de l'adjectif,"lentement
sérieusement
fortement
rapidement
parfaitement
franchement",A1,Adjectives & Adverbs,197,394
féminin de l'adjectif,utiliser la forme féminine de l'adjectif comme base pour former l'adverbe,"lent → lente → lentement
franc → franche → franchement
sérieux → sérieuse → sérieusement",A1,Adjectives & Adverbs,198,395
#NAME?,conjuguer les verbes en -cer au présent de l'indicatif en utilisant 'ç' devant les voyelles,"nous lançons
je lance
tu commences
ils sucent",A1,Verbs Tenses & Conjugation,198,396
nous -cer,ajouter un 'ç' à la conjugaison du verbe en -cer à la première personne du pluriel (nous) pour garder le son doux du 'c',nous lançons,A1,Verbs Tenses & Conjugation,199,397
exemples -cer,utiliser correctement les verbes semi-réguliers en -cer dans des phrases simples au présent,"Je te menace.
À quelle heure tu commences?
Mon fils pince souvent sa sœur.
Comment placez-vous vos invités?
Ils sucent encore leur pouce.",A1,Verbs Tenses & Conjugation,199,398
articles définis avec parties du corps,"utiliser le, la, les pour désigner une partie du corps ou des vêtements appartenant à la personne concernée","Ils ont les yeux fermés.
J’ai mal à la tête.
Tu as les mains dans les poches.",A1,Nouns & Articles,200,399
articles définis avec vêtements,"utiliser le, la, les pour parler de vêtements ou accessoires portés par la personne","Nous sommes rentrés, les vêtements tout sales et les cheveux en bataille.
Tu as les mains dans les poches.",A1,Nouns & Articles,200,400
verbes pronominaux avec parties du corps,"utiliser un verbe pronominal (se laver, se brosser...) avec l'article défini pour clarifier à qui appartient la partie du corps","Je me lave les pieds.
Nous nous grattons la tête.
Il se brosse les dents.",A1,Nouns & Articles,201,401
cas particuliers avec lever/baissier,utiliser l'article défini avec des verbes comme lever ou baisser quand l'action concerne une partie du corps propre à la personne,"Jean lève la main.
Elle a baissé la tête.",A1,Nouns & Articles,201,402
parties du corps d'animaux,appliquer la même règle avec les animaux : utiliser l'article défini pour les parties du corps,Mon chien agite la queue quand il me voit.,A1,Nouns & Articles,202,403
avoir mal,exprimer une douleur physique générale,"J'ai très mal !
Elle n'a pas mal.",A1,"Idioms, Idiomatic Usage, and Structures",202,404
avoir mal à + partie du corps,indiquer une douleur localisée dans une partie spécifique du corps,"J'ai mal à la gorge.
Sophie a mal à l'oreille.
J'ai mal aux dents.",A1,"Idioms, Idiomatic Usage, and Structures",203,405
contraction à + le/les,utiliser les formes contractées 'au' et 'aux' après l'expression 'avoir mal à',"J'ai mal aux dents.
Roxane a mal aux yeux.",A1,"Idioms, Idiomatic Usage, and Structures",203,406
avoir mal au cœur,"exprimer un malaise physique (nausée), et non une douleur cardiaque ou émotionnelle",Mon frère a mal au cœur en voiture.,A1,"Idioms, Idiomatic Usage, and Structures",204,407
œil / yeux,utiliser correctement la forme singulière et plurielle irrégulière du mot 'œil',"Maurice a mal à l'œil.
Roxane a mal aux yeux.",A1,"Idioms, Idiomatic Usage, and Structures",204,408
#NAME?,"conjuguer les verbes semi-réguliers en -ger au présent de l'indicatif en conservant le son doux du 'g' devant a, o, u","nous mangeons
nous rangeons
nous changeons",A1,Verbs Tenses & Conjugation,205,409
g → ge,utiliser 'ge' à la place de 'g' dans la forme 'nous' des verbes en -ger pour préserver le son doux devant la voyelle 'o' du suffixe -ons,"nous mangeons (et non *nous mangons)
nous voyageons (et non *nous voyagons)",A1,Verbs Tenses & Conjugation,205,410
je/tu/il/elle/on conjugation,"conjuguer les verbes en -ger à l'indicatif présent sans modification orthographique pour les personnes je, tu, il/elle/on","je mange
tu changes
il voyage",A1,Verbs Tenses & Conjugation,206,411
vous conjugation,conjuguer les verbes en -ger à la deuxième personne du pluriel sans modification du 'g',"vous nagez
vous corrigez",A1,Verbs Tenses & Conjugation,206,412
ils/elles conjugation,conjuguer les verbes en -ger à la troisième personne du pluriel sans modification du 'g',"ils mangent
elles corrigent",A1,Verbs Tenses & Conjugation,207,413
à + heure,utiliser une préposition pour indiquer l'heure précise d'une action,"Je mange à deux heures de l'après-midi.
Je vais manger à huit heures.
Nous allons partir à midi.",A1,Prepositions & Conjunctions,207,414
verbes réfléchis au présent,conjuguer un verbe réfléchi au présent de l'indicatif en accordant le pronom réfléchi avec le sujet,"Je me maquille tous les matins.
Tu te méfies de lui.
Le prisonnier s'échappe de la prison.
Nous nous étonnons de ses bonnes notes.
Vous vous amusez bien ?
Ils se baladent dans le parc.",A1,Verbs Tenses & Conjugation,208,415
pronoms réfléchis,"utiliser le bon pronom réfléchi (me, te, se, nous, vous) selon la personne grammaticale","je me
tu te
il, elle, on se
nous nous
vous vous
ils, elles se",A1,Verbs Tenses & Conjugation,208,416
élision pronom réfléchi,"appliquer l'élision du pronom réfléchi (m', t', s') devant une voyelle ou un h muet","je m'habille
tu t'habilles
il s'échappe",A1,Verbs Tenses & Conjugation,209,417
se réveiller,conjuguer un verbe pronominal au présent de l'indicatif,"je me réveille
Tu te réveilles doucement
Il se réveille à 8 heures
Nous nous réveillons avant 7 heures
Quand est-ce que vous vous réveillez ?
Ils se réveillent toujours de bonne humeur",A1,Verbs Tenses & Conjugation,209,418
pronom réfléchi,utiliser le pronom réfléchi qui s'accorde avec le sujet,"je me
Tu te
Il/elle/on se
Nous nous
Vous vous
Ils/elles se",A1,Verbs Tenses & Conjugation,210,419
présent de l'indicatif,exprimer une action habituelle ou en cours avec un verbe régulier en -ER,"je me réveille
Tu te réveilles
Il se réveille
Nous nous réveillons
Vous vous réveillez
Ils se réveillent",A1,Verbs Tenses & Conjugation,210,420
se lever,conjuguer un verbe pronominal au présent de l'indicatif,"je me lève
tu te lèves
il/elle/on se lève
nous nous levons
vous vous levez
ils/elles se lèvent",A1,Verbs Tenses & Conjugation,211,421
accent è,utiliser l'accent grave sur le 'e' dans certaines formes du présent pour les verbes comme lever,"je me lève
tu te lèves
il/elle/on se lève
ils/elles se lèvent",A1,Verbs Tenses & Conjugation,211,422
pronom réfléchi,accorder le pronom réfléchi avec le sujet dans les verbes pronominaux,"je me lève
tu te lèves
nous nous levons
vous vous levez",A1,Verbs Tenses & Conjugation,212,423
voix pronominale,reconnaître et utiliser les verbes à la voix pronominale au présent,"Je me lève à 8 heures.
Le soleil se lève à l'est.
Ils ne se lèvent jamais après 8 heures.",A1,Verbs Tenses & Conjugation,212,424
se coucher,conjuguer un verbe pronominal au présent de l'indicatif,"je me couche
tu te couches
il/elle/on se couche
nous nous couchons
vous vous couchez
ils/elles se couchent",A1,Verbs Tenses & Conjugation,213,425
pronom réfléchi,utiliser le pronom réfléchi qui s'accorde avec le sujet,"je **me**
tu **te**
il/elle/on **se**
nous **nous**
vous **vous**
ils/elles **se**",A1,Verbs Tenses & Conjugation,213,426
aller au lit,exprimer la même action avec une expression non verbale pronominale,Tu peux dire 'aller au lit' au lieu de 'se coucher'.,A1,Verbs Tenses & Conjugation,214,427
horloge 24 heures,"utiliser l'horloge sur 24 heures pour exprimer l'heure de manière précise, surtout quand il y a un risque de confusion entre le matin et le soir","Il est vingt heures.
On se rejoint à dix-sept heures.
Il est dix-huit heures.",A1,"Numbers, Time & Date",214,428
précisions temporelles,"ajouter des expressions comme du matin, de l'après-midi ou du soir pour distinguer entre AM et PM dans le format 12 heures","Il est six heures du soir.
Il est six heures du matin.
Il est quatre heures et quart du matin.",A1,"Numbers, Time & Date",215,429
expressions de quart et demi,"utiliser et quart, et demie ou moins le quart avec les heures inférieures à 12 pour dire 15, 30 ou 45 minutes","Il est trois heures et demie de l'après-midi.
Il est quatre heures et quart du matin.
Il est onze heures moins le quart.",A1,"Numbers, Time & Date",215,430
minutes numériques après 12h,"utiliser quinze, trente et quarante-cinq après une heure au format 24 heures (à partir de 13h) pour indiquer les minutes","Il est seize heures quinze.
Il est quinze heures trente.
Il est dix-neuf heures quarante-cinq.",A1,"Numbers, Time & Date",216,431
s'habiller au présent,conjuguer un verbe pronominal au présent de l'indicatif,"je m'habille
Tu t'habilles ?
Elle s'habille à 8 heures.
Nous nous habillons toujours vite.
Vous vous habillez à 7 heures ?
Elles s'habillent maintenant.",A1,Verbs Tenses & Conjugation,216,432
pronoms réfléchis,utiliser les pronoms réfléchis qui s'accordent avec le sujet,"je → me/m'
tu → te/t'
il/elle/on → se/s'
nous → nous
vous → vous
ils/elles → se/s'",A1,Verbs Tenses & Conjugation,217,433
élision pronom réfléchi,appliquer l'élision du pronom réfléchi devant une voyelle ou un h muet,"je m'habille
Tu t'habilles ?
Elle s'habille",A1,Verbs Tenses & Conjugation,217,434
se laver,conjuguer un verbe pronominal au présent de l'indicatif,"Je me lave.
Tu te laves les mains?
Il se lave les cheveux.
Nous nous lavons le soir.
Vous vous lavez tous les jours.
Ils se lavent tous les matins.",A1,Verbs Tenses & Conjugation,218,435
pronom réfléchi,"utiliser les pronoms réfléchis selon le sujet (me, te, se, nous, vous, se)","je → me
tu → te
il/elle/on → se
nous → nous
vous → vous
ils/elles → se",A1,Verbs Tenses & Conjugation,218,436
verbes réguliers -ER,conjuguer un verbe régulier en -ER au présent selon le pronom sujet,"je lav**e**
tu lav**es**
il/elle/on lav**e**
nous lav**ons**
vous lav**ez**
ils/elles lav**ent**",A1,Verbs Tenses & Conjugation,219,437
s'amuser au présent,conjuguer un verbe pronominal au présent de l'indicatif en accordant le pronom réfléchi avec le sujet,"je m'amuse
tu t'amuses
il/elle/on s'amuse
nous nous amusons
vous vous amusez
ils/elles s'amusent",A1,Verbs Tenses & Conjugation,219,438
pronoms réfléchis,"utiliser les pronoms réfléchis (me, te, se, nous, vous, se) qui s'accordent avec le sujet","m' devant voyelle ou h muet
t' devant voyelle ou h muet
s' devant voyelle ou h muet",A1,Verbs Tenses & Conjugation,220,439
verbes réguliers en -ER,appliquer la conjugaison régulière en -er après le pronom réfléchi,"amus-e (je)
amus-es (tu)
amus-e (il/elle)
amus-ons (nous)
amus-ez (vous)
amus-ent (ils/elles)",A1,Verbs Tenses & Conjugation,220,440
ne ... pas avec verbes pronominaux,Je peux former des phrases négatives avec des verbes pronominaux au présent ou dans un temps simple.,"Il ne s'amuse pas beaucoup.
Je ne me souviens pas de toi.
Vous ne vous lavez pas tous les matins.
Nous ne nous levons pas à 7h le lundi.",A1,Negative Words & Constructions,221,441
"-é(-)er, -e(-)er",conjuguer les verbes semi-réguliers en -é(-)er et -e(-)er au présent de l'indicatif en changeant l'accent selon la personne,"je complète → je compl**è**te
nous complétons (pas de changement)
tu préfères → tu préf**è**res
nous préférons (pas de changement)",A1,Verbs Tenses & Conjugation,221,442
accentuation è/é,"utiliser l'accent grave (è) aux personnes je, tu, il/elle, ils/elles pour maintenir la prononciation /ɛ/, sauf à nous/vous où l'accent aigu (é) reste","je mène, tu mènes, il mène, ils mènent
nous menons, vous menez
je lève, tu lèves, elle lève, elles lèvent
nous levons, vous levez",A1,Verbs Tenses & Conjugation,222,443
verbes -ê(-)er,"conjuguer les verbes en -ê(-)er (comme fêter, rêver) régulièrement sans changement d'accent","je fête, tu fêtes, il fête, nous fêtons, vous fêtez, ils fêtent",A1,Verbs Tenses & Conjugation,222,444
prononciation /ɛ/ vs /e/,distinguer la prononciation entre les formes avec è (/ɛ/) et celles avec é (/e/) dans les verbes semi-réguliers,"il compl**è**te [kom-plett] 
nous compl**é**tons [kom-play-ton]
il m**è**ne [men] 
nous m**e**nons [meu-non]",A1,Verbs Tenses & Conjugation,223,445
partir,conjuguer un verbe irrégulier en -TIR au présent de l'indicatif,"je pars
tu pars
il/elle/on part
nous partons
vous partez
ils/elles partent",A1,Verbs Tenses & Conjugation,223,446
autres verbes -TIR irréguliers,identifier et conjuguer d'autres verbes irréguliers en -TIR qui suivent le même modèle que partir,"je sors
il ment
tu te sens
nous ressortons
vous repartez
ils sentent",A1,Verbs Tenses & Conjugation,224,447
répartir,reconnaître qu’un verbe en -TIR peut être régulier même s’il ressemble à un verbe irrégulier,répartir suit la conjugaison régulière des verbes en -IR (comme finir),A1,Verbs Tenses & Conjugation,224,448
se sentir,conjuguer un verbe pronominal en -TIR au présent,tu te sens bien ?,A1,Verbs Tenses & Conjugation,225,449
sentir + quelque chose,"utiliser 'sentir' pour exprimer l'odorat, le toucher ou le goût dans un contexte général","Est-ce que vous sentez ce parfum ?
Ça fait mal ? - Non, je ne sens rien.
Est-ce que tu sens la tomate ?",A1,"Idioms, Idiomatic Usage, and Structures",225,450
sentir + article défini,exprimer une odeur caractéristique (sentir comme/de quelque chose) avec un article défini,"Tu sens la friture, c'est dégoûtant !
Tu sens la friture dans cette rue ?",A1,"Idioms, Idiomatic Usage, and Structures",226,451
sentir la rose,utiliser une expression figée pour dire qu’on sent bon ou mauvais,"Tu sens la rose aujourd'hui !
Ouh là là ! Ils ne sentent pas la rose !
Attention ! Ça ne sent pas la rose là-dedans !",A1,"Idioms, Idiomatic Usage, and Structures",226,452
articles définis avec titres,"utiliser les articles définis (le, la, les) avant un titre pour parler de la personne dans son rôle",Le président Mitterrand est...,A1,Nouns & Articles,227,453
articles définis avec langues,"utiliser l'article défini (le, la, l') avec les noms de langues comme sujet ou complément","Le français est...
Nous étudions la géographie.",A1,Nouns & Articles,227,454
langue sans article après parler,ne pas utiliser d'article défini après le verbe 'parler' quand on indique la langue parlée (forme courante),Il parle portugais.,A1,Nouns & Articles,228,455
langue avec article après parler,utiliser l'article défini après 'parler' pour insister sur la langue comme système ou objet spécifique,Il parle le portugais.,A1,Nouns & Articles,228,456
articles définis avec matières,"utiliser l'article défini (le, la, les) avec les matières scolaires",Nous étudions la géographie.,A1,Nouns & Articles,229,457
#NAME?,Je peux conjuguer les verbes en -eter et -eler au présent en doublant le 't' ou le 'l' à certaines personnes.,"j'appelle 
tu jettes 
ils appellent 
elles jettent",A1,Verbs Tenses & Conjugation,229,458
prononciation -ell- / -ett-,Je peux distinguer la prononciation des groupes -ell- et -ett- dans les verbes en -eler et -eter.,"appelle [ɛl] 
jette [ɛt]",A1,Verbs Tenses & Conjugation,230,459
exceptions -etter / -eller,Je peux identifier que les verbes en -etter et -eller ne doublent pas la consonne au présent.,"il laisse 
ils blesseront 
nous errons",A1,Verbs Tenses & Conjugation,230,460
réforme orthographique 1990,Je peux utiliser l'accent grave à la place du doublement consonantique pour certains verbes en -eler et -eter (sauf appeler et jeter).,"je chancèle ou je chancelle 
il hoquète ou il hoquette",A1,Verbs Tenses & Conjugation,231,461
prendre,Conjuguer un verbe irrégulier du premier groupe à l'indicatif présent.,"je prends
tu prends
il/elle/on prend
nous prenons
vous prenez
ils/elles prennent",A1,Verbs Tenses & Conjugation,231,462
verbes en -prendre,Identifier et conjuguer des verbes dérivés de 'prendre' selon le même modèle irrégulier.,"apprendre
comprendre
reprendre",A1,Verbs Tenses & Conjugation,232,463
an / année,"utiliser le masculin 'an' pour une unité de temps précise, et le féminin 'année' pour exprimer une durée","J'ai passé un an en Espagne quand j'avais dix-neuf ans.
Pendant son année sabbatique, il a voyagé autour du monde.",A1,"Numbers, Time & Date",232,464
jour / journée,"utiliser le masculin 'jour' pour un moment précis, et le féminin 'journée' pour mettre l'accent sur la durée","J'ai eu plein de cadeaux le jour de mon anniversaire.
Les chauve-souris dorment pendant la journée.",A1,"Numbers, Time & Date",233,465
matin / matinée,"utiliser le masculin 'matin' pour indiquer un moment de la journée, et le féminin 'matinée' pour parler de la durée","Je prends le train le matin.
J'ai travaillé toute la matinée.",A1,"Numbers, Time & Date",233,466
soir / soirée,"utiliser le masculin 'soir' pour un moment donné, et le féminin 'soirée' pour souligner la durée ou l'expérience","Le soir, je bois un verre avec mes amis.
Cette soirée s'est très bien passée.",A1,"Numbers, Time & Date",234,467
pluriel -al,former le pluriel des noms français se terminant par -al en général changeant en -aux,"J'ai un animal familier. J'adore les animaux !
Tu as un cheval ? - Non, j'ai deux chevaux.
Il y a un hôpital dans ma ville. - Il y a trois hôpitaux ici !
Je lis le journal tous les jours. - Je déteste les journaux !",A1,Nouns & Articles,234,468
exceptions -al,identifier les exceptions où les noms en -al prennent un -s au lieu de -aux au pluriel,"des bals
des carnavals
des festivals
des récitals
des régals
des chacals",A1,Nouns & Articles,235,469
présent indicatif,utiliser le présent de l'indicatif pour exprimer une action en cours au moment où l'on parle,"Je mange un gâteau délicieux.
C'est toujours quand je prends une douche que le téléphone sonne!",A1,Verbs Tenses & Conjugation,235,470
pas de présent continu,ne pas utiliser de forme équivalente au présent continu anglais ; utiliser uniquement le présent indicatif,"On ne dit jamais : *Je suis travaillant*.
On dit : Je travaille.",A1,Verbs Tenses & Conjugation,236,471
être en train de,exprimer une action en cours au présent,"Elle est en train de faire ses devoirs dans sa chambre.
Je suis en train de prendre ma douche !
Nous sommes en train de décorer la chambre du bébé en ce moment-même.
Louis est en train de faire la sieste.",A1,"Idioms, Idiomatic Usage, and Structures",236,472
Présent indicatif,exprimer une action habituelle ou une action en cours selon le contexte,"je fais, tu manges",A1,"Idioms, Idiomatic Usage, and Structures",237,473
idiomes avec être,utiliser des expressions figées avec le verbe 'être' pour des sens spécifiques,être en train de,A1,"Idioms, Idiomatic Usage, and Structures",237,474
dire - présent,Conjuguer le verbe 'dire' et ses dérivés au présent de l'indicatif.,"Je dis la vérité.
Tu dis n'importe quoi !
Richard dit bonjour à ses collègues.
Nous ne disons jamais de mensonges.
Qu'est-ce que vous dites ?
Ils disent au revoir à Martine.",A1,Verbs Tenses & Conjugation,238,475
redire,"Conjuguer 'redire' comme 'dire' au présent, y compris la forme 'vous redites'.",Tu redis la même chose !,A1,Verbs Tenses & Conjugation,238,476
verbes dérivés de dire,Conjuguer les verbes dérivés de 'dire' (sauf 'redire') avec une terminaison spécifique à la deuxième personne du pluriel (-isez).,"Vous prédissez qu'ils seront en retard.
Vous contredisez souvent les gens ?
Je t'interdis de partir.
Ils nous interdisent de parler anglais.",A1,Verbs Tenses & Conjugation,239,477
maudire,Identifier que 'maudire' ne suit pas la conjugaison de 'dire' mais celle des verbes en -ir réguliers.,,A1,Verbs Tenses & Conjugation,239,478
me/te/nous/vous,utiliser les pronoms objets directs et indirects pour remplacer un nom placé après une préposition ou un verbe,"Je me demande si c'est possible.
Je te parle.
Tu nous parles.
Je vous attends.
Je t'aime.",A1,Pronouns,240,479
élision,"utiliser la forme élidée (m', t') devant une voyelle ou un h muet pour faciliter la prononciation","Je t'aime.
Je me demande.",A1,Pronouns,240,480
position des pronoms objets,placer les pronoms objets avant le verbe auquel ils se réfèrent,"Je te parle.
Tu nous parles.
Je vous attends.
Je t'aime.",A1,Pronouns,241,481
